Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch: 0 | Train loss: 3512.90371 | Test loss: 1262.77234
Epoch: 1 | Train loss: 871.41995 | Test loss: 473.73010
Epoch: 2 | Train loss: 219.18237 | Test loss: 93.76874
Epoch: 3 | Train loss: 35.10701 | Test loss: 38.21758
Epoch: 4 | Train loss: 16.02450 | Test loss: 19.38114
Epoch: 5 | Train loss: 13.91179 | Test loss: 8.09490
Epoch: 6 | Train loss: 12.86374 | Test loss: 8.74638
Epoch: 7 | Train loss: 12.36801 | Test loss: 8.62332
Epoch: 8 | Train loss: 11.44021 | Test loss: 6.09576
Epoch: 9 | Train loss: 11.55888 | Test loss: 9.84645
Epoch: 10 | Train loss: 11.25615 | Test loss: 16.70238
Epoch: 11 | Train loss: 10.53300 | Test loss: 11.99507
Epoch: 12 | Train loss: 11.07136 | Test loss: 15.35258
Epoch: 13 | Train loss: 10.03370 | Test loss: 13.18639
Epoch: 14 | Train loss: 9.94177 | Test loss: 6.85934
Epoch: 15 | Train loss: 9.78262 | Test loss: 6.39729
Epoch: 16 | Train loss: 9.52108 | Test loss: 9.42809
Epoch: 17 | Train loss: 10.23195 | Test loss: 6.29640
Epoch: 18 | Train loss: 8.59929 | Test loss: 6.26541
Epoch: 19 | Train loss: 9.86593 | Test loss: 15.62783
Epoch: 20 | Train loss: 9.24378 | Test loss: 7.86755
Epoch: 21 | Train loss: 9.55654 | Test loss: 7.84256
Epoch: 22 | Train loss: 8.77809 | Test loss: 15.93084
Epoch: 23 | Train loss: 9.12704 | Test loss: 6.23290
Epoch: 24 | Train loss: 8.61943 | Test loss: 6.08131
Epoch: 25 | Train loss: 8.70901 | Test loss: 11.38048
Epoch: 26 | Train loss: 8.82314 | Test loss: 5.87499
Epoch: 27 | Train loss: 8.29533 | Test loss: 6.14805
Epoch: 28 | Train loss: 8.58734 | Test loss: 5.76990
