Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch 000 | SR Loss: 3315.18433 | Domain Loss: 0.69167 | Test Loss: 1104.69063
Epoch 001 | SR Loss: 714.77019 | Domain Loss: 0.69033 | Test Loss: 312.29462
Epoch 002 | SR Loss: 125.07770 | Domain Loss: 0.68942 | Test Loss: 44.58286
Epoch 003 | SR Loss: 24.43559 | Domain Loss: 0.68830 | Test Loss: 11.22258
Epoch 004 | SR Loss: 15.97761 | Domain Loss: 0.68761 | Test Loss: 22.70891
Epoch 005 | SR Loss: 12.69414 | Domain Loss: 0.68639 | Test Loss: 10.12639
Epoch 006 | SR Loss: 12.30398 | Domain Loss: 0.68588 | Test Loss: 6.24460
Epoch 007 | SR Loss: 12.19271 | Domain Loss: 0.68449 | Test Loss: 6.36404
Epoch 008 | SR Loss: 11.52270 | Domain Loss: 0.68113 | Test Loss: 6.49016
Epoch 009 | SR Loss: 10.96998 | Domain Loss: 0.68029 | Test Loss: 6.51325
Epoch 010 | SR Loss: 10.71687 | Domain Loss: 0.67925 | Test Loss: 28.92993
Epoch 011 | SR Loss: 10.34093 | Domain Loss: 0.67764 | Test Loss: 6.22854
Epoch 012 | SR Loss: 9.88185 | Domain Loss: 0.67766 | Test Loss: 7.85240
Epoch 013 | SR Loss: 10.42598 | Domain Loss: 0.67726 | Test Loss: 13.64076
Epoch 014 | SR Loss: 9.84954 | Domain Loss: 0.67625 | Test Loss: 8.14037
Epoch 015 | SR Loss: 10.39419 | Domain Loss: 0.67498 | Test Loss: 11.41626
Epoch 016 | SR Loss: 9.21213 | Domain Loss: 0.67509 | Test Loss: 7.09834
Epoch 017 | SR Loss: 9.95891 | Domain Loss: 0.67351 | Test Loss: 6.24993
Epoch 018 | SR Loss: 8.90590 | Domain Loss: 0.67163 | Test Loss: 6.11440
Epoch 019 | SR Loss: 9.06355 | Domain Loss: 0.67159 | Test Loss: 8.08542
Epoch 020 | SR Loss: 9.18275 | Domain Loss: 0.67065 | Test Loss: 6.31203
Epoch 021 | SR Loss: 9.10937 | Domain Loss: 0.66968 | Test Loss: 24.32589
Epoch 022 | SR Loss: 8.93115 | Domain Loss: 0.67078 | Test Loss: 5.66761
Epoch 023 | SR Loss: 9.02761 | Domain Loss: 0.66991 | Test Loss: 7.01121
Epoch 024 | SR Loss: 9.24448 | Domain Loss: 0.66853 | Test Loss: 7.20445
Epoch 025 | SR Loss: 8.61155 | Domain Loss: 0.66646 | Test Loss: 5.96325
Epoch 026 | SR Loss: 8.41591 | Domain Loss: 0.66610 | Test Loss: 12.61968
Epoch 027 | SR Loss: 8.39503 | Domain Loss: 0.66576 | Test Loss: 5.72364
Epoch 028 | SR Loss: 8.84183 | Domain Loss: 0.66349 | Test Loss: 14.82351
Epoch 029 | SR Loss: 8.38820 | Domain Loss: 0.66449 | Test Loss: 5.52405
Epoch 030 | SR Loss: 8.27612 | Domain Loss: 0.66294 | Test Loss: 6.64101
Epoch 031 | SR Loss: 7.99735 | Domain Loss: 0.66412 | Test Loss: 5.95490
Epoch 032 | SR Loss: 8.27617 | Domain Loss: 0.66211 | Test Loss: 9.13533
Epoch 033 | SR Loss: 8.50830 | Domain Loss: 0.66345 | Test Loss: 5.72148
Epoch 034 | SR Loss: 7.83054 | Domain Loss: 0.66072 | Test Loss: 7.93669
Epoch 035 | SR Loss: 8.07667 | Domain Loss: 0.66038 | Test Loss: 5.47085
Epoch 036 | SR Loss: 7.53878 | Domain Loss: 0.65995 | Test Loss: 11.03618
Epoch 037 | SR Loss: 7.99112 | Domain Loss: 0.65947 | Test Loss: 14.75647
Epoch 038 | SR Loss: 7.75216 | Domain Loss: 0.65933 | Test Loss: 5.70447
Epoch 039 | SR Loss: 7.83283 | Domain Loss: 0.65612 | Test Loss: 5.37979
Epoch 040 | SR Loss: 7.79595 | Domain Loss: 0.65657 | Test Loss: 5.95173
Epoch 041 | SR Loss: 7.29422 | Domain Loss: 0.65682 | Test Loss: 8.76522
Epoch 042 | SR Loss: 7.57205 | Domain Loss: 0.65832 | Test Loss: 5.30678
Epoch 043 | SR Loss: 7.54812 | Domain Loss: 0.65591 | Test Loss: 5.66442
Epoch 044 | SR Loss: 7.31174 | Domain Loss: 0.65390 | Test Loss: 6.55456
Epoch 045 | SR Loss: 7.29177 | Domain Loss: 0.65403 | Test Loss: 10.46901
Epoch 046 | SR Loss: 7.43214 | Domain Loss: 0.65345 | Test Loss: 8.09481
Epoch 047 | SR Loss: 7.43384 | Domain Loss: 0.65284 | Test Loss: 5.86437
Epoch 048 | SR Loss: 7.24947 | Domain Loss: 0.65285 | Test Loss: 5.33448
Epoch 049 | SR Loss: 7.60063 | Domain Loss: 0.64816 | Test Loss: 5.33972
Epoch 050 | SR Loss: 7.12770 | Domain Loss: 0.65034 | Test Loss: 6.76904
Epoch 051 | SR Loss: 7.41603 | Domain Loss: 0.64646 | Test Loss: 5.86292
Epoch 052 | SR Loss: 7.01924 | Domain Loss: 0.64795 | Test Loss: 6.14111
Epoch 053 | SR Loss: 6.88909 | Domain Loss: 0.64715 | Test Loss: 5.24842
